DateTime,SPX_Position,SPX_Return,rf_daily
2012-11-20,0,0.0006633863793050754,3.173339045314805e-06
2012-11-21,0,0.002320181125065268,3.966279028766451e-06
2012-11-23,0,0.0130263148426395,3.966279028766451e-06
2012-11-26,1,-0.002029581877026398,3.966279028766451e-06
2012-11-27,1,-0.005226587298556074,3.966279028766451e-06
2012-11-28,1,0.007856028682432514,3.966279028766451e-06
2012-11-29,1,0.004269642628790482,3.569828763927418e-06
2012-11-30,1,0.000162507536987766,3.173339045314805e-06
2012-12-03,1,-0.004745224843287876,3.966279028766451e-06
2012-12-04,1,-0.001709812393515642,3.966279028766451e-06
2012-12-05,1,0.001584862223349637,3.966279028766451e-06
2012-12-06,1,0.003306590608326498,3.966279028766451e-06
2012-12-07,1,0.002920919596276939,3.569828763927418e-06
2012-12-10,1,0.0003385605486663223,3.569828763927418e-06
2012-12-11,1,0.006548882078472706,3.173339045314805e-06
2012-12-12,1,0.0004482397633898128,2.77680986426887e-06
2012-12-13,1,-0.006321425165448868,2.380241213684187e-06
2012-12-14,1,-0.004135401260425442,1.586985470813929e-06
2012-12-17,1,0.01187059085338715,1.98363308512306e-06
2012-12-18,1,0.01148665642159985,2.380241213684187e-06
2012-12-19,1,-0.007589201039747917,1.98363308512306e-06
2012-12-20,1,0.00548810949285139,2.380241213684187e-06
2012-12-21,1,-0.009378687628036841,2.380241213684187e-06
2012-12-24,1,-0.002440296594620528,2.380241213684187e-06
2012-12-26,1,-0.00478746019469678,3.569828763927418e-06
2012-12-27,1,-0.001218442012279497,3.173339045314805e-06
2012-12-28,1,-0.01104994157307237,3.968056356828953e-07
2012-12-31,1,0.016941941334216,1.98363308512306e-06
2013-01-02,1,0.02540342032095566,3.173339045314805e-06
2013-01-03,1,-0.002085617494612335,3.173339045314805e-06
2013-01-04,1,0.004865096315322726,2.77680986426887e-06
2013-01-07,1,-0.003123116153882832,2.77680986426887e-06
2013-01-08,1,-0.003242371304872593,2.77680986426887e-06
2013-01-09,1,0.002655865938542723,2.380241213684187e-06
2013-01-10,1,0.007597415119266593,2.380241213684187e-06
2013-01-11,1,-4.751398615254754e-05,2.77680986426887e-06
2013-01-14,1,-0.0009306715612541483,3.173339045314805e-06
2013-01-15,1,0.001128669764158152,3.569828763927418e-06
2013-01-16,1,0.0001969919103148587,3.173339045314805e-06
2013-01-17,1,0.005642922184041277,2.77680986426887e-06
2013-01-18,1,0.003403270397119629,3.173339045314805e-06
2013-01-22,1,0.004428106846314561,3.173339045314805e-06
2013-01-23,1,0.001507477027169024,3.173339045314805e-06
2013-01-24,1,6.614683421002354e-06,3.173339045314805e-06
2013-01-25,1,0.005445481690718568,3.173339045314805e-06
2013-01-28,1,-0.00184962161255986,2.77680986426887e-06
2013-01-29,1,0.005105995170663791,2.77680986426887e-06
2013-01-30,1,-0.003899621323283586,2.77680986426887e-06
2013-01-31,1,-0.002563301077303626,2.77680986426887e-06
2013-02-01,1,0.01005270556968885,2.380241213684187e-06
2013-02-04,1,-0.01153874482096418,2.77680986426887e-06
2013-02-05,1,0.01041651024055135,2.77680986426887e-06
2013-02-06,1,0.0005491705981222061,2.77680986426887e-06
2013-02-07,1,-0.001805399358229098,2.77680986426887e-06
2013-02-08,1,0.005657940611518475,2.77680986426887e-06
2013-02-11,1,-0.000606117484177715,3.569828763927418e-06
2013-02-12,1,0.001595272232703948,3.569828763927418e-06
2013-02-13,1,0.000592263093356804,3.966279028766451e-06
2013-02-14,1,0.0006906716689638603,4.362689847159373e-06
2013-02-15,1,-0.001045081317756935,3.966279028766451e-06
2013-02-19,1,0.007336475471722448,4.759061227099792e-06
2013-02-20,1,-0.0124041379552301,4.759061227099792e-06
2013-02-21,1,-0.006303057332801676,5.155393176359269e-06
2013-02-22,1,0.00877246792183084,5.155393176359269e-06
2013-02-25,1,-0.01830958065915234,4.759061227099792e-06
2013-02-26,0,0.006109463971145423,5.551685702931408e-06
2013-02-27,1,0.01272599407710984,4.362689847159373e-06
2013-02-28,1,-0.0008640799292048973,4.362689847159373e-06
2013-03-01,1,0.002323855425647947,4.362689847159373e-06
2013-03-04,1,0.00461072337316093,4.362689847159373e-06
2013-03-05,1,0.00956601649469957,3.173339045314805e-06
2013-03-06,1,0.001084512714484509,3.966279028766451e-06
2013-03-07,1,0.001816491442581558,3.966279028766451e-06
2013-03-08,1,0.004481139122655353,3.966279028766451e-06
2013-03-11,1,0.003249085739679192,3.966279028766451e-06
2013-03-12,1,-0.002403252949314871,3.966279028766451e-06
2013-03-13,1,0.00131405176760091,3.569828763927418e-06
2013-03-14,1,0.005602990523162488,3.966279028766451e-06
2013-03-15,1,-0.001618462624492611,3.569828763927418e-06
2013-03-18,1,-0.005510332450180178,2.77680986426887e-06
2013-03-19,1,-0.00242253065187148,2.77680986426887e-06
2013-03-20,1,0.006697492376420033,2.77680986426887e-06
2013-03-21,1,-0.008282433828555424,2.77680986426887e-06
2013-03-22,1,0.007174256352702413,2.77680986426887e-06
2013-03-25,1,-0.003340038919423693,3.173339045314805e-06
2013-03-26,1,0.007785110802517758,2.77680986426887e-06
2013-03-27,1,-0.0005883499068410902,3.569828763927418e-06
2013-03-28,1,0.004056669494418408,2.77680986426887e-06
2013-04-01,1,-0.004473580460659154,3.173339045314805e-06
2013-04-02,1,0.005172264111710678,2.77680986426887e-06
2013-04-03,1,-0.01054612870163985,2.380241213684187e-06
2013-04-04,1,0.004048451943253761,2.77680986426887e-06
2013-04-05,1,-0.00429489561132812,2.77680986426887e-06
2013-04-08,1,0.006302737952936122,2.77680986426887e-06
2013-04-09,1,0.003544332149468366,2.380241213684187e-06
2013-04-10,1,0.01218913260513421,2.77680986426887e-06
2013-04-11,1,0.003552250519810007,2.77680986426887e-06
2013-04-12,1,-0.002836767069231527,2.380241213684187e-06
2013-04-15,1,-0.022966290584433,2.380241213684187e-06
2013-04-16,1,0.01430722329039558,2.380241213684187e-06
2013-04-17,1,-0.0143276813942792,2.380241213684187e-06
